areaCode,areaName,areaType,date,newCasesByPublishDate
E06000014,York,utla,2021-06-02,4
E06000050,Cheshire West and Chester,utla,2021-06-02,46
E08000001,Bolton,utla,2021-06-02,149
E08000016,Barnsley,utla,2021-06-02,19
E08000031,Wolverhampton,utla,2021-06-02,6
E08000032,Bradford,utla,2021-06-02,63
E09000018,Hounslow,utla,2021-06-02,22
E09000032,Wandsworth,utla,2021-06-02,28
E09000033,Westminster,utla,2021-06-02,22
E10000034,Worcestershire,utla,2021-06-02,21
S12000013,Na h-Eileanan Siar,utla,2021-06-02,0
S12000029,South Lanarkshire,utla,2021-06-02,44
S12000045,East Dunbartonshire,utla,2021-06-02,14
W06000023,Powys,utla,2021-06-02,1
E06000003,Redcar and Cleveland,utla,2021-06-01,2
E06000014,York,utla,2021-06-01,2
E06000050,Cheshire West and Chester,utla,2021-06-01,17
E08000001,Bolton,utla,2021-06-01,98
E08000016,Barnsley,utla,2021-06-01,10
E08000031,Wolverhampton,utla,2021-06-01,6
E08000032,Bradford,utla,2021-06-01,64
E09000018,Hounslow,utla,2021-06-01,7
E09000032,Wandsworth,utla,2021-06-01,21
E09000033,Westminster,utla,2021-06-01,4
E10000034,Worcestershire,utla,2021-06-01,21
S12000013,Na h-Eileanan Siar,utla,2021-06-01,1
S12000029,South Lanarkshire,utla,2021-06-01,26
S12000045,East Dunbartonshire,utla,2021-06-01,16
W06000023,Powys,utla,2021-06-01,1
E06000003,Redcar and Cleveland,utla,2021-05-31,1
E06000014,York,utla,2021-05-31,15
E06000050,Cheshire West and Chester,utla,2021-05-31,30
E08000001,Bolton,utla,2021-05-31,151
E08000016,Barnsley,utla,2021-05-31,4
E08000031,Wolverhampton,utla,2021-05-31,7
E08000032,Bradford,utla,2021-05-31,42
E09000018,Hounslow,utla,2021-05-31,15
E09000032,Wandsworth,utla,2021-05-31,12
E09000033,Westminster,utla,2021-05-31,7
E10000034,Worcestershire,utla,2021-05-31,12
S12000013,Na h-Eileanan Siar,utla,2021-05-31,0
S12000029,South Lanarkshire,utla,2021-05-31,29
S12000045,East Dunbartonshire,utla,2021-05-31,10
W06000023,Powys,utla,2021-05-31,0
E06000003,Redcar and Cleveland,utla,2021-05-30,1
E06000014,York,utla,2021-05-30,7
E06000050,Cheshire West and Chester,utla,2021-05-30,23
E08000001,Bolton,utla,2021-05-30,113
E08000016,Barnsley,utla,2021-05-30,12
E08000031,Wolverhampton,utla,2021-05-30,1
E08000032,Bradford,utla,2021-05-30,35
E09000018,Hounslow,utla,2021-05-30,15
E09000032,Wandsworth,utla,2021-05-30,17
E09000033,Westminster,utla,2021-05-30,10
E10000034,Worcestershire,utla,2021-05-30,14
S12000013,Na h-Eileanan Siar,utla,2021-05-30,0
S12000029,South Lanarkshire,utla,2021-05-30,36
S12000045,East Dunbartonshire,utla,2021-05-30,13
W06000023,Powys,utla,2021-05-30,1
E06000003,Redcar and Cleveland,utla,2021-05-29,3
E06000014,York,utla,2021-05-29,11
E06000050,Cheshire West and Chester,utla,2021-05-29,16
E08000001,Bolton,utla,2021-05-29,127
E08000016,Barnsley,utla,2021-05-29,8
E08000031,Wolverhampton,utla,2021-05-29,4
E08000032,Bradford,utla,2021-05-29,24
E09000018,Hounslow,utla,2021-05-29,26
E09000032,Wandsworth,utla,2021-05-29,14
E09000033,Westminster,utla,2021-05-29,20
E10000034,Worcestershire,utla,2021-05-29,19
S12000013,Na h-Eileanan Siar,utla,2021-05-29,0
S12000029,South Lanarkshire,utla,2021-05-29,31
S12000045,East Dunbartonshire,utla,2021-05-29,17
W06000023,Powys,utla,2021-05-29,0
E06000003,Redcar and Cleveland,utla,2021-05-28,1
E06000014,York,utla,2021-05-28,5
E06000050,Cheshire West and Chester,utla,2021-05-28,18
E08000001,Bolton,utla,2021-05-28,241
E08000016,Barnsley,utla,2021-05-28,13
E08000031,Wolverhampton,utla,2021-05-28,6
E08000032,Bradford,utla,2021-05-28,54
E09000018,Hounslow,utla,2021-05-28,24
E09000032,Wandsworth,utla,2021-05-28,13
E09000033,Westminster,utla,2021-05-28,18
E10000034,Worcestershire,utla,2021-05-28,18
S12000013,Na h-Eileanan Siar,utla,2021-05-28,0
S12000029,South Lanarkshire,utla,2021-05-28,51
S12000045,East Dunbartonshire,utla,2021-05-28,15
W06000023,Powys,utla,2021-05-28,1
E06000003,Redcar and Cleveland,utla,2021-05-27,2
E06000014,York,utla,2021-05-27,10
E06000050,Cheshire West and Chester,utla,2021-05-27,14
E08000001,Bolton,utla,2021-05-27,203
E08000016,Barnsley,utla,2021-05-27,13
E08000031,Wolverhampton,utla,2021-05-27,2
E08000032,Bradford,utla,2021-05-27,44
E09000018,Hounslow,utla,2021-05-27,35
E09000032,Wandsworth,utla,2021-05-27,10
E09000033,Westminster,utla,2021-05-27,11
E10000034,Worcestershire,utla,2021-05-27,19
S12000013,Na h-Eileanan Siar,utla,2021-05-27,0
S12000029,South Lanarkshire,utla,2021-05-27,20
S12000045,East Dunbartonshire,utla,2021-05-27,5
W06000023,Powys,utla,2021-05-27,2
E06000003,Redcar and Cleveland,utla,2021-05-26,9
E06000014,York,utla,2021-05-26,4
E06000050,Cheshire West and Chester,utla,2021-05-26,8
E08000001,Bolton,utla,2021-05-26,144
E08000016,Barnsley,utla,2021-05-26,11
E08000031,Wolverhampton,utla,2021-05-26,5
E08000032,Bradford,utla,2021-05-26,53
E09000018,Hounslow,utla,2021-05-26,12
E09000032,Wandsworth,utla,2021-05-26,10
E09000033,Westminster,utla,2021-05-26,8
E10000034,Worcestershire,utla,2021-05-26,9
S12000013,Na h-Eileanan Siar,utla,2021-05-26,0
S12000029,South Lanarkshire,utla,2021-05-26,59
S12000045,East Dunbartonshire,utla,2021-05-26,6
W06000023,Powys,utla,2021-05-26,0
E06000003,Redcar and Cleveland,utla,2021-05-25,3
E06000014,York,utla,2021-05-25,5
E06000050,Cheshire West and Chester,utla,2021-05-25,4
E08000001,Bolton,utla,2021-05-25,117
E08000016,Barnsley,utla,2021-05-25,10
E08000031,Wolverhampton,utla,2021-05-25,6
E08000032,Bradford,utla,2021-05-25,58
E09000018,Hounslow,utla,2021-05-25,21
E09000032,Wandsworth,utla,2021-05-25,9
E09000033,Westminster,utla,2021-05-25,3
E10000034,Worcestershire,utla,2021-05-25,14
S12000013,Na h-Eileanan Siar,utla,2021-05-25,0
S12000029,South Lanarkshire,utla,2021-05-25,20
S12000045,East Dunbartonshire,utla,2021-05-25,9
W06000023,Powys,utla,2021-05-25,0
E06000003,Redcar and Cleveland,utla,2021-05-24,8
E06000014,York,utla,2021-05-24,4
E06000050,Cheshire West and Chester,utla,2021-05-24,0
E08000001,Bolton,utla,2021-05-24,106
E08000016,Barnsley,utla,2021-05-24,7
E08000031,Wolverhampton,utla,2021-05-24,5
E08000032,Bradford,utla,2021-05-24,33
E09000018,Hounslow,utla,2021-05-24,23
E09000032,Wandsworth,utla,2021-05-24,7
E09000033,Westminster,utla,2021-05-24,11
E10000034,Worcestershire,utla,2021-05-24,17
S12000013,Na h-Eileanan Siar,utla,2021-05-24,0
S12000029,South Lanarkshire,utla,2021-05-24,19
S12000045,East Dunbartonshire,utla,2021-05-24,13
W06000023,Powys,utla,2021-05-24,1
E06000003,Redcar and Cleveland,utla,2021-05-23,2
E06000014,York,utla,2021-05-23,7
