areaCode,areaName,areaType,date,newOnsDeathsByRegistrationDate
E06000050,Cheshire West and Chester,utla,2020-11-13,11
E08000001,Bolton,utla,2020-11-13,21
E08000016,Barnsley,utla,2020-11-13,32
E08000031,Wolverhampton,utla,2020-11-13,12
E08000032,Bradford,utla,2020-11-13,49
E09000018,Hounslow,utla,2020-11-13,6
E09000032,Wandsworth,utla,2020-11-13,1
E09000033,Westminster,utla,2020-11-13,1
E10000034,Worcestershire,utla,2020-11-13,10
W06000023,Powys,utla,2020-11-13,3
E06000003,Redcar and Cleveland,utla,2020-11-06,13
E06000014,York,utla,2020-11-06,4
E06000050,Cheshire West and Chester,utla,2020-11-06,8
E08000001,Bolton,utla,2020-11-06,12
E08000016,Barnsley,utla,2020-11-06,20
E08000031,Wolverhampton,utla,2020-11-06,7
E08000032,Bradford,utla,2020-11-06,38
E09000018,Hounslow,utla,2020-11-06,7
E09000032,Wandsworth,utla,2020-11-06,1
E09000033,Westminster,utla,2020-11-06,2
E10000034,Worcestershire,utla,2020-11-06,6
W06000023,Powys,utla,2020-11-06,2
E06000003,Redcar and Cleveland,utla,2020-10-30,15
E06000014,York,utla,2020-10-30,1
E06000050,Cheshire West and Chester,utla,2020-10-30,5
E08000001,Bolton,utla,2020-10-30,14
E08000016,Barnsley,utla,2020-10-30,16
E08000031,Wolverhampton,utla,2020-10-30,5
E08000032,Bradford,utla,2020-10-30,19
E09000018,Hounslow,utla,2020-10-30,5
E09000032,Wandsworth,utla,2020-10-30,4
E09000033,Westminster,utla,2020-10-30,2
E10000034,Worcestershire,utla,2020-10-30,4
W06000023,Powys,utla,2020-10-30,2
E06000003,Redcar and Cleveland,utla,2020-10-23,2
E06000014,York,utla,2020-10-23,1
E06000050,Cheshire West and Chester,utla,2020-10-23,5
E08000001,Bolton,utla,2020-10-23,14
E08000016,Barnsley,utla,2020-10-23,10
E08000031,Wolverhampton,utla,2020-10-23,7
E08000032,Bradford,utla,2020-10-23,17
E09000018,Hounslow,utla,2020-10-23,0
E09000032,Wandsworth,utla,2020-10-23,1
E09000033,Westminster,utla,2020-10-23,2
E10000034,Worcestershire,utla,2020-10-23,3
W06000023,Powys,utla,2020-10-23,1
E06000003,Redcar and Cleveland,utla,2020-10-16,4
E06000014,York,utla,2020-10-16,2
E06000050,Cheshire West and Chester,utla,2020-10-16,3
E08000001,Bolton,utla,2020-10-16,6
E08000016,Barnsley,utla,2020-10-16,6
E08000031,Wolverhampton,utla,2020-10-16,4
E08000032,Bradford,utla,2020-10-16,10
E09000018,Hounslow,utla,2020-10-16,1
E09000032,Wandsworth,utla,2020-10-16,0
E09000033,Westminster,utla,2020-10-16,2
E10000034,Worcestershire,utla,2020-10-16,3
W06000023,Powys,utla,2020-10-16,0
E06000003,Redcar and Cleveland,utla,2020-10-09,4
E06000014,York,utla,2020-10-09,1
E06000050,Cheshire West and Chester,utla,2020-10-09,1
E08000001,Bolton,utla,2020-10-09,12
E08000016,Barnsley,utla,2020-10-09,2
E08000031,Wolverhampton,utla,2020-10-09,4
E08000032,Bradford,utla,2020-10-09,14
E09000018,Hounslow,utla,2020-10-09,0
E09000032,Wandsworth,utla,2020-10-09,0
